"","otherSpeeches"
": In compliance with a custom as old as the Government itself , I appear before you to address you briefly and to take in your presence the oath prescribed by the Constitution of the United States to be taken by the President \""before he enters on the execution of this office.\""I do not consider it necessary at present for me to discuss those matters of administration about which there is no special anxiety or excitement . The mails , unless repelled , will continue to be furnished in all parts of the Union . The rule of a minority , as a permanent arrangement , is wholly inadmissible ; so that , rejecting the majority principle , anarchy or despotism in some form is all that is left . I do not forget the position assumed by some that constitutional questions are to be decided by the Supreme Court , nor do I deny that such decisions must be binding in any case upon the parties to a suit as to the object of that suit , while they are also entitled to very high respect and consideration in all parallel cases by all other departments of the Government","In compliance with a custom as old as the Government itself, I appear before you to address you briefly and to take in your presence the oath prescribed by the Constitution of the United States to be taken by the President \""before he enters on the execution of this office.\""I do not consider it necessary at present for me to discuss those matters of administration about which there is no special anxiety or excitement. The mails, unless repelled, will continue to be furnished in all parts of the Union. The rule of a minority, as a permanent arrangement, is wholly inadmissible ; so that, rejecting the majority principle, anarchy or despotism in some form is all that is left. I do not forget the position assumed by some that constitutional questions are to be decided by the Supreme Court, nor do I deny that such decisions must be binding in any case upon the parties to a suit as to the object of that suit, while they are also entitled to very high respect and consideration in all parallel cases by all other departments of the Government."
". While the inaugural address was being delivered from this place , devoted altogether to saving the Union without war , insurgent agents were in the city seeking to destroy it without war-seeking to dissolve the Union and divide effects by negotiation . Both parties deprecated war , but one of them would make war rather than let the nation survive , and the other would accept war rather than let it perish , and the war came . It may seem strange that any men should dare to ask a just God 's assistance in wringing their bread from the sweat of other men 's faces , but let us judge not , that we be not judged ; for it must needs be that offenses come , but woe to that man by whom the offense cometh.\ "" If we shall suppose that American slavery is one of those offenses which , in the providence of God , must needs come , but which , having continued through His appointed time , He now wills to remove , and that He gives to both North and South this terrible war as the woe due to those by whom the offense came , shall we discern therein any departure from those divine attributes which the believers in a living God always ascribe to Him . Yet , if God wills that it continue until all the wealth piled by the bondsman 's two hundred and fifty years of unrequited toil shall be sunk , and until every drop of blood drawn with the lash shall be paid by another drawn with the sword , as was said three thousand years ago , so still it must be said \""the judgments of the Lord are true and righteous altogether.\""With malice toward none , with charity for all , with firmness in the right as God gives us to see the right , let us strive on to finish the work we are in , to bind up the nation 's wounds , to care for him who shall have borne the battle and for his widow and his orphan , to do all which may achieve and cherish a just and lasting peace among ourselves and with all nations","While the inaugural address was being delivered from this place, devoted altogether to saving the Union without war, insurgent agents were in the city seeking to destroy it without war-seeking to dissolve the Union and divide effects by negotiation. Both parties deprecated war, but one of them would make war rather than let the nation survive, and the other would accept war rather than let it perish, and the war came. It may seem strange that any men should dare to ask a just God 's assistance in wringing their bread from the sweat of other men 's faces, but let us judge not, that we be not judged ; for it must needs be that offenses come, but woe to that man by whom the offense cometh.\ "" If we shall suppose that American slavery is one of those offenses which, in the providence of God, must needs come, but which, having continued through His appointed time, He now wills to remove, and that He gives to both North and South this terrible war as the woe due to those by whom the offense came, shall we discern therein any departure from those divine attributes which the believers in a living God always ascribe to Him. Yet, if God wills that it continue until all the wealth piled by the bondsman 's two hundred and fifty years of unrequited toil shall be sunk, and until every drop of blood drawn with the lash shall be paid by another drawn with the sword, as was said three thousand years ago, so still it must be said \""the judgments of the Lord are true and righteous altogether.\""With malice toward none, with charity for all, with firmness in the right as God gives us to see the right, let us strive on to finish the work we are in, to bind up the nation 's wounds, to care for him who shall have borne the battle and for his widow and his orphan, to do all which may achieve and cherish a just and lasting peace among ourselves and with all nations."
". With foreign nations it will be my study to preserve peace and to cultivate friendship on fair and honorable terms , and in the adjustment of any differences that may exist or arise to exhibit the forbearance becoming a powerful nation rather than the sensibility belonging to a gallant people . With regard to a proper selection of the subjects of impost with a view to revenue , it would seem to me that the spirit of equity , caution , and compromise in which the Constitution was formed requires that the great interests of agriculture , commerce , and manufactures should be equally favored , and that perhaps the only exception to this rule should consist in the peculiar encouragement of any products of either of them that may be found essential to our national independence . The recent demonstration of public sentiment inscribes on the list of Executive duties , in characters too legible to be overlooked , the task of ' reform ' , which will require particularly the correction of those abuses that have brought the patronage of the Federal Government into conflict with the freedom of elections , and the counteraction of those causes which have disturbed the rightful course of appointment and have placed or continued power in unfaithful or incompetent hands . In the performance of a task thus generally delineated I shall endeavor to select men whose diligence and talents will insure in their respective stations able and faithful cooperation , depending for the advancement of the public service more on the integrity and zeal of the public officers than on their numbers . And a firm reliance on the goodness of that Power whose providence mercifully protected our national infancy , and has since upheld our liberties in various vicissitudes , encourages me to offer up my ardent supplications that He will continue to make our beloved country the object of His divine care and gracious benediction","With foreign nations it will be my study to preserve peace and to cultivate friendship on fair and honorable terms, and in the adjustment of any differences that may exist or arise to exhibit the forbearance becoming a powerful nation rather than the sensibility belonging to a gallant people. With regard to a proper selection of the subjects of impost with a view to revenue, it would seem to me that the spirit of equity, caution, and compromise in which the Constitution was formed requires that the great interests of agriculture, commerce, and manufactures should be equally favored, and that perhaps the only exception to this rule should consist in the peculiar encouragement of any products of either of them that may be found essential to our national independence. The recent demonstration of public sentiment inscribes on the list of Executive duties, in characters too legible to be overlooked, the task of ' reform ', which will require particularly the correction of those abuses that have brought the patronage of the Federal Government into conflict with the freedom of elections, and the counteraction of those causes which have disturbed the rightful course of appointment and have placed or continued power in unfaithful or incompetent hands. In the performance of a task thus generally delineated I shall endeavor to select men whose diligence and talents will insure in their respective stations able and faithful cooperation, depending for the advancement of the public service more on the integrity and zeal of the public officers than on their numbers. And a firm reliance on the goodness of that Power whose providence mercifully protected our national infancy, and has since upheld our liberties in various vicissitudes, encourages me to offer up my ardent supplications that He will continue to make our beloved country the object of His divine care and gracious benediction."
". To this end it becomes the duty of all to yield a ready and patriotic submission to the laws constitutionally enacted , and thereby promote and strengthen a proper confidence in those institutions of the several States and of the United States which the people themselves have ordained for their own government . Solemnly impressed with these considerations , my countrymen will ever find me ready to exercise my constitutional powers in arresting measures which may directly or indirectly encroach upon the rights of the States or tend to consolidate all political power in the General Government . You have been wisely admonished to \""accustom yourselves to think and speak of the Union as of the palladium of your political safety and prosperity , watching for its preservation with jealous anxiety , discountenancing whatever may suggest even a suspicion that it can in any event be abandoned , and indignantly frowning upon the first dawning of any attempt to alienate any portion of our country from the rest or to enfeeble the sacred ties which now link together the various parts.\ "" Without union our independence and liberty would never have been achieved . Constantly bearing in mind that in entering into society \""individuals must give up a share of liberty to preserve the rest , \ "" it will be my desire so to discharge my duties as to foster with our brethren in all parts of the country a spirit of liberal concession and compromise , and , by reconciling our fellow-citizens to those partial sacrifices which they must unavoidably make for the preservation of a greater good , to recommend our invaluable Government and Union to the confidence and affections of the American people . Finally , it is my most fervent prayer to that Almighty Being before whom I now stand , and who has kept us in His hands from the infancy of our Republic to the present day , that He will so overrule all my intentions and actions and inspire the hearts of my fellow-citizens that we may be preserved from dangers of all kinds and continue forever a united and happy people","To this end it becomes the duty of all to yield a ready and patriotic submission to the laws constitutionally enacted, and thereby promote and strengthen a proper confidence in those institutions of the several States and of the United States which the people themselves have ordained for their own government. Solemnly impressed with these considerations, my countrymen will ever find me ready to exercise my constitutional powers in arresting measures which may directly or indirectly encroach upon the rights of the States or tend to consolidate all political power in the General Government. You have been wisely admonished to \""accustom yourselves to think and speak of the Union as of the palladium of your political safety and prosperity, watching for its preservation with jealous anxiety, discountenancing whatever may suggest even a suspicion that it can in any event be abandoned, and indignantly frowning upon the first dawning of any attempt to alienate any portion of our country from the rest or to enfeeble the sacred ties which now link together the various parts.\ "" Without union our independence and liberty would never have been achieved. Constantly bearing in mind that in entering into society \""individuals must give up a share of liberty to preserve the rest, \ "" it will be my desire so to discharge my duties as to foster with our brethren in all parts of the country a spirit of liberal concession and compromise, and, by reconciling our fellow-citizens to those partial sacrifices which they must unavoidably make for the preservation of a greater good, to recommend our invaluable Government and Union to the confidence and affections of the American people. Finally, it is my most fervent prayer to that Almighty Being before whom I now stand, and who has kept us in His hands from the infancy of our Republic to the present day, that He will so overrule all my intentions and actions and inspire the hearts of my fellow-citizens that we may be preserved from dangers of all kinds and continue forever a united and happy people."
". Where the answer is no , programs will end . Those ideals still light the world , and we will not give them up for expedience 's sake . To the people of poor nations , we pledge to work alongside you to make your farms flourish and let clean waters flow , to nourish starved bodies and feed hungry minds . This is the meaning of our liberty and our creed .","Where the answer is no, programs will end. Those ideals still light the world, and we will not give them up for expedience 's sake. To the people of poor nations, we pledge to work alongside you to make your farms flourish and let clean waters flow, to nourish starved bodies and feed hungry minds. This is the meaning of our liberty and our creed.."
". What makes us exceptional<e2>what makes us American<e2>is our allegiance to an idea articulated in a declaration made more than two centuries ago . No single person can train all the math and science teachers we 'll need to equip our children for the future , or build the roads and networks and research labs that will bring new jobs and businesses to our shores . But we reject the belief that America must choose between caring for the generation that built this country and investing in the generation that will build its future . We will support democracy from Asia to Africa , from the Americas to the Middle East , because our interests and our conscience compel us to act on behalf of those who long for freedom . We must act , we must act knowing that today 's victories will be only partial and that it will be up to those who stand here in 4 years and 40 years and 400 years hence to advance the timeless spirit once conferred to us in a spare Philadelphia hall","What makes us exceptional<e2>what makes us American<e2>is our allegiance to an idea articulated in a declaration made more than two centuries ago. No single person can train all the math and science teachers we 'll need to equip our children for the future, or build the roads and networks and research labs that will bring new jobs and businesses to our shores. But we reject the belief that America must choose between caring for the generation that built this country and investing in the generation that will build its future. We will support democracy from Asia to Africa, from the Americas to the Middle East, because our interests and our conscience compel us to act on behalf of those who long for freedom. We must act, we must act knowing that today 's victories will be only partial and that it will be up to those who stand here in 4 years and 40 years and 400 years hence to advance the timeless spirit once conferred to us in a spare Philadelphia hall."
": There is no constitutional or legal requirement that the President shall take the oath of office in the presence of the people , but there is so manifest an appropriateness in the public induction to office of the chief executive officer of the nation that from the beginning of the Government the people , to whose service the official oath consecrates the officer , have been called to witness the solemn ceremonial . Our people will not fail at this time to recall the incidents which accompanied the institution of government under the Constitution , or to find inspiration and guidance in the teachings and example of Washington and his great associates , and hope and courage in the contrast which thirty-eight populous and prosperous States offer to the thirteen States , weak in everything except courage and the love of liberty , that then fringed our Atlantic seaboard ? I do not doubt that if those men in the South who now accept the tariff views of Clay and the constitutional expositions of Webster would courageously avow and defend their real convictions they would not find it difficult , by friendly instruction and cooperation , to make the black man their efficient and safe ally , not only in establishing correct principles in our national administration , but in preserving for their local communities the benefits of social order and economical and honest government . The duty devolved by law upon the President to nominate and , by and with the advice and consent of the Senate , to appoint all public officers whose appointment is not otherwise provided for in the Constitution or by act of Congress has become very burdensome and its wise and efficient discharge full of difficulty . The National Congress has not as yet taken control of elections in that case over which the Constitution gives it jurisdiction , but has accepted and adopted the election laws of the several States , provided penalties for their violation and a method of supervision","There is no constitutional or legal requirement that the President shall take the oath of office in the presence of the people, but there is so manifest an appropriateness in the public induction to office of the chief executive officer of the nation that from the beginning of the Government the people, to whose service the official oath consecrates the officer, have been called to witness the solemn ceremonial. Our people will not fail at this time to recall the incidents which accompanied the institution of government under the Constitution, or to find inspiration and guidance in the teachings and example of Washington and his great associates, and hope and courage in the contrast which thirty-eight populous and prosperous States offer to the thirteen States, weak in everything except courage and the love of liberty, that then fringed our Atlantic seaboard ? I do not doubt that if those men in the South who now accept the tariff views of Clay and the constitutional expositions of Webster would courageously avow and defend their real convictions they would not find it difficult, by friendly instruction and cooperation, to make the black man their efficient and safe ally, not only in establishing correct principles in our national administration, but in preserving for their local communities the benefits of social order and economical and honest government. The duty devolved by law upon the President to nominate and, by and with the advice and consent of the Senate, to appoint all public officers whose appointment is not otherwise provided for in the Constitution or by act of Congress has become very burdensome and its wise and efficient discharge full of difficulty. The National Congress has not as yet taken control of elections in that case over which the Constitution gives it jurisdiction, but has accepted and adopted the election laws of the several States, provided penalties for their violation and a method of supervision."
". Where great principles are involved , where great movements are under way which promise much for the welfare of humanity by reason of the very fact that many other nations have given such movements their actual support , we ought not to withhold our own sanction because of any small and inessential difference , but only upon the ground of the most important and compelling fundamental reasons . We can not barter away our independence or our sovereignty , but we ought to engage in no refinements of logic , no sophistries , and no subterfuges , to argue away the undoubted duty of this country by reason of the might of its numbers , the power of its resources , and its position of leadership in the world , actively and comprehensively to signify its approval and to bear its full share of the responsibility of a candid and disinterested attempt at the establishment of a tribunal for the administration of even-handed justice between nation and nation . When the country has bestowed its confidence upon a party by making it a majority in the Congress , it has a right to expect such unity of action as will make the party majority an effective instrument of government . Our system of government made up of three separate and independent departments , our divided sovereignty composed of Nation and State , the matchless wisdom that is enshrined in our Constitution , all these need constant effort and tireless vigilance for their protection and support . Here it will continue to stand , seeking peace and prosperity , solicitous for the welfare of the wage earner , promoting enterprise , developing waterways and natural resources , attentive to the intuitive counsel of womanhood , encouraging education , desiring the advancement of religion , supporting the cause of justice and honor among the nations","Where great principles are involved, where great movements are under way which promise much for the welfare of humanity by reason of the very fact that many other nations have given such movements their actual support, we ought not to withhold our own sanction because of any small and inessential difference, but only upon the ground of the most important and compelling fundamental reasons. We can not barter away our independence or our sovereignty, but we ought to engage in no refinements of logic, no sophistries, and no subterfuges, to argue away the undoubted duty of this country by reason of the might of its numbers, the power of its resources, and its position of leadership in the world, actively and comprehensively to signify its approval and to bear its full share of the responsibility of a candid and disinterested attempt at the establishment of a tribunal for the administration of even-handed justice between nation and nation. When the country has bestowed its confidence upon a party by making it a majority in the Congress, it has a right to expect such unity of action as will make the party majority an effective instrument of government. Our system of government made up of three separate and independent departments, our divided sovereignty composed of Nation and State, the matchless wisdom that is enshrined in our Constitution, all these need constant effort and tireless vigilance for their protection and support. Here it will continue to stand, seeking peace and prosperity, solicitous for the welfare of the wage earner, promoting enterprise, developing waterways and natural resources, attentive to the intuitive counsel of womanhood, encouraging education, desiring the advancement of religion, supporting the cause of justice and honor among the nations."
". We will face challenges , we will confront hardships , but we will get the job done . One by one , the factories shuttered and left our shores , with not even a thought about the millions and millions of American workers that were left behind . We will get our people off of welfare and back to work , rebuilding our country with American hands and American labor . We will reinforce old alliances and form new ones and unite the civilized world against radical Islamic terrorism , which we will eradicate from the face of the Earth . At the bedrock of our politics will be a total allegiance to the United States of America , and through our loyalty to our country , we will rediscover our loyalty to each other","We will face challenges, we will confront hardships, but we will get the job done. One by one, the factories shuttered and left our shores, with not even a thought about the millions and millions of American workers that were left behind. We will get our people off of welfare and back to work, rebuilding our country with American hands and American labor. We will reinforce old alliances and form new ones and unite the civilized world against radical Islamic terrorism, which we will eradicate from the face of the Earth. At the bedrock of our politics will be a total allegiance to the United States of America, and through our loyalty to our country, we will rediscover our loyalty to each other."
". Abhorring war as a chosen way to balk the purposes of those who threaten us , we hold it to be the first task of statesmanship to develop the strength that will deter the forces of aggression and promote the conditions of peace . In the light of this principle , we stand ready to engage with any and all others in joint effort to remove the causes of mutual fear and distrust among nations , so as to make possible drastic reduction of armaments . Knowing that only a United States that is strong and immensely productive can help defend freedom in our world , we view our Nation 's strength and security as a trust upon which rests the hope of free men everywhere . Recognizing economic health as an indispensable basis of military strength and the free world 's peace , we shall strive to foster everywhere , and to practice ourselves , policies that encourage productivity and profitable trade : whatever America hopes to bring to pass in the world must first come to pass in the heart of America","Abhorring war as a chosen way to balk the purposes of those who threaten us, we hold it to be the first task of statesmanship to develop the strength that will deter the forces of aggression and promote the conditions of peace. In the light of this principle, we stand ready to engage with any and all others in joint effort to remove the causes of mutual fear and distrust among nations, so as to make possible drastic reduction of armaments. Knowing that only a United States that is strong and immensely productive can help defend freedom in our world, we view our Nation 's strength and security as a trust upon which rests the hope of free men everywhere. Recognizing economic health as an indispensable basis of military strength and the free world 's peace, we shall strive to foster everywhere, and to practice ourselves, policies that encourage productivity and profitable trade : whatever America hopes to bring to pass in the world must first come to pass in the heart of America."
